305 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
306 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
307 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
308 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
309 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
310 : B000:[001][---][---][---][---][---][---][---] | L001:[002][000] | L002:[001][---]
311 : B000:[001][---][---][---][---][---][---][---] | L001:[002][000] | L002:[001][---]
312 : B000:[002][---][---][---][001][---][---][---] | L001:[000][---] | L002:[000][---]
313 : B000:[002][---][---][---][001][---][---][---] | L001:[000][002] | L002:[000][001]
314 : B000:[002][---][---][---][001][---][---][---] | L001:[000][---] | L002:[000][---]
315 : B000:[002][---][---][---][001][---][---][---] | L001:[000][002] | L002:[000][001]
316 : B000:[002][---][---][---][---][001][---][---] | L001:[000][---] | L002:[000][---]
317 : B000:[002][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][000]
318 : B000:[002][---][---][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
319 : B000:[002][---][---][---][---][001][---][---] | L001:[000][---] | L002:[000][---]
320 : B000:[002][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][000]
321 : B000:[002][---][---][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
322 : B000:[002][---][---][---][001][---][---][---] | L001:[000][---] | L002:[000][---]
323 : B000:[002][---][---][---][001][---][---][---] | L001:[000][002] | L002:[000][001]
324 : B000:[002][---][---][---][001][---][---][---] | L001:[000][---] | L002:[000][---]
325 : B000:[002][---][---][---][001][---][---][---] | L001:[000][002] | L002:[000][001]
326 : B000:[002][---][---][---][---][001][---][---] | L001:[000][---] | L002:[000][---]
327 : B000:[002][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][000]
328 : B000:[002][---][---][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
329 : B000:[002][---][---][---][---][001][---][---] | L001:[000][---] | L002:[000][---]
330 : B000:[002][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][000]
331 : B000:[002][---][---][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
332 : B000:[002][---][001][---][---][---][---][---] | L001:[000][---] | L002:[000][---]
